X,Y,OBJECTID,EVENT_UNIQUE_ID,OCC_DATE,OCC_YEAR,OCC_MONTH,OCC_DAY,OCC_DOW,OCC_DOY,DIVISION,HOMICIDE_TYPE,HOOD_158,NEIGHBOURHOOD_158,HOOD_140,NEIGHBOURHOOD_140,LONG_WGS84,LAT_WGS84
-8838869.925,5412564.233,59,GO-2004730198,2004/12/11 05:00:00+00,2004,December,11,Saturday,346,D14,Stabbing,79,University,79,University (79),-79.40091948,43.65732212
-8828636.08,5420468.903,60,GO-2004775505,2004/12/12 05:00:00+00,2004,December,12,Sunday,347,D54,Stabbing,54,O'Connor-Parkview,54,O'Connor-Parkview (54),-79.30898729,43.70867374
-8836415.366,5413078.563,61,GO-2004736004,2004/12/19 05:00:00+00,2004,December,19,Sunday,354,D51,Shooting,168,Downtown Yonge East,75,Church-Yonge Corridor (75),-79.3788698,43.66066473
-8822794.704,5423867.795,62,GO-2004811677,2004/12/19 05:00:00+00,2004,December,19,Sunday,354,D41,Shooting,124,Kennedy Park,124,Kennedy Park (124),-79.25651332,43.73074067
-8830727.793,5421075.8,63,GO-2004730003,2004/12/20 05:00:00+00,2004,December,20,Monday,355,D54,Shooting,44,Flemingdon Park,44,Flemingdon Park (44),-79.32777746,43.71261455
-8820501.574,5424581.71,64,GO-2004860547,2004/12/31 05:00:00+00,2004,December,31,Friday,366,D42,Stabbing,123,Cliffcrest,123,Cliffcrest (123),-79.23591377,43.73537465
-8823766.232,5438766.611,65,GO-2005879569,2005/01/14 05:00:00+00,2005,January,14,Friday,14,D42,Stabbing,130,Milliken,130,Milliken (130),-79.2652407,43.82737369
-8841490.045,5413803.152,66,GO-2005910043,2005/01/18 05:00:00+00,2005,January,18,Tuesday,18,D14,Stabbing,172,Dovercourt Village,93,Dovercourt-Wallace Emerson-Junction (93),-79.42445642,43.6653735
-8839571.007,5410210.921,67,GO-2005920738,2005/01/21 05:00:00+00,2005,January,21,Friday,21,D14,Shooting,162,West Queen West,82,Niagara (82),-79.40721741,43.64202566
-8839571.007,5410210.921,68,GO-2005920738,2005/01/21 05:00:00+00,2005,January,21,Friday,21,D14,Shooting,162,West Queen West,82,Niagara (82),-79.40721741,43.64202566
-8831214.077,5435655.178,69,GO-20051003568,2005/01/24 05:00:00+00,2005,January,24,Monday,24,D42,Other,116,Steeles,116,Steeles (116),-79.33214583,43.80720598
-8852284.374,5430411.463,70,GO-2005812174,2005/01/26 05:00:00+00,2005,January,26,Wednesday,26,D31,Other,24,Black Creek,24,Black Creek (24),-79.52142353,43.77320183
-8825660.155,5429827.737,71,GO-2005951634,2005/02/11 05:00:00+00,2005,February,11,Friday,42,D33,Shooting,126,Dorset Park,126,Dorset Park (126),-79.2822541,43.76941531
